Time [local],Min,10,20,30,40,50,60,70,80,90,Max,QueryRate,Queries,Load Factor
6/22/2023 12:30,2257,2944,3236,3523,3740,3951,4195,4498,5020,5801,18954,14.71666667,883,3.740237691
6/22/2023 12:31,2405,2958,3301,3540,3815,4030,4301,4635,5095,5715,12862,11.28333333,677,3.472137791
6/22/2023 12:32,2362,3033,3419,3759,3990,4258,4520,4823,5303,5830,8295,11.46666667,688,1.921401515
6/22/2023 12:33,2326,3141,3402,3684,3931,4195,4520,4921,5383,6098,9445,9.233333333,554,2.457777778
6/22/2023 12:34,1965,3033,3318,3666,3951,4195,4520,4896,5356,6037,14503,9.05,543,2.413587604
6/22/2023 12:35,2311,3094,3419,3648,3892,4091,4365,4704,5303,6098,13184,9.05,543,2.461538462
6/22/2023 12:36,1880,3048,3335,3594,3834,4071,4322,4589,5045,5743,10185,9.133333333,548,2.823863636
6/22/2023 12:37,2000,3110,3385,3648,3892,4071,4365,4752,5276,6159,10392,8.783333333,527,3.142857143
6/22/2023 12:38,2174,3125,3453,3666,3854,4091,4409,4799,5224,5830,9617,8.266666667,496,2.201856148
6/22/2023 12:39,2451,3188,3505,3759,4010,4344,4635,4970,5464,6128,14568,7.75,465,2.699614891
6/22/2023 12:40,1892,3018,3368,3612,3912,4112,4409,4752,5224,5801,11795,9.366666667,562,4.038990826
6/22/2023 12:41,2038,2914,3236,3488,3721,3971,4216,4589,5045,5630,9879,10.16666667,610,2.137339056
6/22/2023 12:42,1783,2988,3269,3505,3740,4030,4365,4728,5198,5947,13044,11.35,681,2.874875869
6/22/2023 12:43,2194,3141,3436,3666,3892,4112,4387,4704,5250,5947,13253,11.2,672,2.855126999
6/22/2023 12:44,2159,3018,3351,3612,3892,4153,4409,4728,5224,5977,7824,8.95,537,2.231591449
6/22/2023 12:45,1942,2704,3033,3236,3488,3703,3971,4301,4872,5686,16992,20.23333333,1214,3.371283997
6/22/2023 12:46,1760,2467,2677,2885,3063,3252,3488,3759,4216,5045,17098,61.66666667,3700,5.392156863
6/22/2023 12:47,1863,2435,2664,2857,3048,3236,3453,3721,4091,4799,9055,52.35,3141,3.116220028
6/22/2023 12:48,2099,2914,3220,3470,3703,3931,4174,4520,5020,5686,8443,11,660,2.187182096
6/22/2023 12:49,2367,3220,3523,3815,3990,4216,4453,4799,5198,5715,9719,9.766666667,586,2.668432203
6/22/2023 12:50,1870,2900,3204,3419,3612,3834,4071,4409,4896,5859,9746,20.78333333,1247,2.586771845
6/22/2023 12:51,2292,2929,3335,3576,3796,4010,4195,4498,4728,5546,8094,5.416666667,325,2.889561271
6/22/2023 12:52,2281,3033,3269,3558,3740,3971,4195,4344,4681,5464,10510,7.1,426,2.818820225
6/22/2023 12:53,2355,3236,3540,3815,4010,4258,4476,4728,5095,6067,20664,6.383333333,383,1.910204082
6/22/2023 12:54,2308,3220,3540,3740,3931,4153,4344,4520,4872,5630,9651,5.266666667,316,2.816793893
6/22/2023 12:55,2166,3141,3402,3648,3834,3990,4216,4453,4945,5830,8409,7.166666667,430,2.753020134
6/22/2023 12:56,2435,3125,3453,3684,3971,4301,4681,5070,5918,6409,7793,4.233333333,254,3.269685039
6/22/2023 12:57,2493,3125,3470,3703,3892,4091,4301,4612,5045,5801,8127,5.783333333,347,2.973228346
6/22/2023 12:58,2382,3018,3368,3648,3892,4174,4476,4775,5121,5947,8592,4.75,285,2.291118421
6/22/2023 12:59,2477,3236,3558,3796,3971,4174,4476,4799,5224,5918,9906,4.616666667,277,2.245819398
6/22/2023 13:00,2336,3079,3318,3540,3796,4030,4216,4566,4823,5519,16664,4.716666667,283,3.745266781
6/22/2023 13:01,2390,3125,3488,3721,3854,4112,4409,4704,5095,5772,8425,6.083333333,365,2.816011236
6/22/2023 13:02,2114,3094,3368,3612,3854,4051,4498,4945,5276,5977,9020,5.266666667,316,2.718023256
6/22/2023 13:03,2234,3141,3470,3666,3854,4030,4258,4520,4945,5772,15227,5.416666667,325,2.26300578
6/22/2023 13:04,2332,3236,3505,3721,3971,4237,4409,4896,5383,6098,9677,4.733333333,284,5.319018405
6/22/2023 13:05,2501,3094,3368,3630,3873,4071,4322,4704,5250,6159,15431,7.266666667,436,2.167286245
6/22/2023 13:06,1641,2479,2731,2944,3172,3368,3648,3931,4365,5070,11370,23.51666667,1411,3.130387343
6/22/2023 13:07,1717,2419,2651,2843,3018,3204,3419,3721,4112,4921,21467,47.16666667,2830,2.728874291
6/22/2023 13:08,1883,2560,2800,3018,3188,3385,3648,3912,4258,4823,8542,18.81666667,1129,2.558541267
6/22/2023 13:09,2302,3125,3385,3558,3777,3990,4195,4431,4799,5464,15495,4.616666667,277,2.408882083
6/22/2023 13:10,2282,3094,3368,3630,3931,4153,4344,4775,5198,5830,14098,6.7,402,2.215767635
6/22/2023 13:11,1970,3063,3385,3666,3912,4132,4409,4775,5276,6220,12759,4.533333333,272,2.542662116
6/22/2023 13:12,2500,3172,3419,3594,3759,3951,4132,4453,4847,5437,7635,4.783333333,287,2.380434783
6/22/2023 13:13,2361,3048,3402,3540,3703,3892,4174,4409,4872,5198,7300,5.783333333,347,2.554455446
6/22/2023 13:14,1971,3204,3470,3648,3815,4010,4237,4476,4775,5329,9040,4.766666667,286,2.735524257
6/22/2023 13:15,2111,3003,3335,3576,3815,4030,4301,4543,4775,5045,8310,4.5,270,2.711323764
6/22/2023 13:16,2442,3048,3335,3703,3873,4112,4409,4681,5095,6252,8283,3.416666667,205,2.637037037
6/22/2023 13:17,2329,3063,3436,3684,3873,4071,4279,4635,5020,6067,8478,3.75,225,3.25
6/22/2023 13:18,2483,3018,3470,3648,3931,4153,4431,4752,5356,6314,8954,3.083333333,185,2.203036053
6/22/2023 13:19,2258,3172,3505,3759,3912,4091,4279,4476,4823,5383,9261,6.833333333,410,2.150310559
6/22/2023 13:20,2318,3079,3419,3594,3815,4010,4174,4409,4728,5329,8255,8.316666667,499,2.232828871
6/22/2023 13:21,2184,3048,3285,3436,3594,3777,3951,4216,4520,5356,8857,14.91666667,895,2.570664629
6/22/2023 13:22,2563,3204,3523,3721,3854,4112,4301,4520,4921,5546,10280,3.216666667,193,2.4032
6/22/2023 13:23,2221,3094,3385,3576,3759,3931,4153,4387,4752,5198,9105,7.733333333,464,2.284890427
6/22/2023 13:24,2232,3018,3368,3684,3912,4112,4344,4476,4823,5519,9605,5.283333333,317,2.347031963
6/22/2023 13:25,2071,3110,3318,3505,3703,3892,4132,4365,4681,5410,13794,11.48333333,689,2.30214425
6/22/2023 13:26,1898,2509,2718,2944,3156,3385,3648,3912,4279,4752,20960,17.3,1038,2.715536105
6/22/2023 13:27,1756,2427,2638,2800,2973,3156,3335,3576,3951,4612,19155,69.8,4188,2.999151104
6/22/2023 13:28,1755,2433,2677,2857,3048,3220,3419,3630,3971,4681,20419,33.75,2025,2.996765063
6/22/2023 13:29,2088,3033,3269,3594,3796,3990,4174,4589,4995,5715,16969,3.933333333,236,2.756660746
6/22/2023 13:30,2063,2973,3285,3523,3684,3912,4112,4409,4704,5602,11592,6.933333333,416,3.238033635
6/22/2023 13:31,2283,3079,3488,3740,3971,4174,4520,4872,5546,6283,12068,4.983333333,299,2.837060703
6/22/2023 13:32,2112,3033,3402,3666,3912,4195,4498,4896,5383,6190,18084,12.53333333,752,3.144083969
6/22/2023 13:33,2042,3018,3453,3815,4091,4409,4704,5020,5437,6007,19190,15.7,942,2.530266344
6/22/2023 13:34,1961,3188,3540,3740,3951,4216,4453,4681,4970,5602,8783,5.033333333,302,2.033386328
6/22/2023 13:35,2429,3269,3523,3759,3971,4195,4387,4566,4847,5410,10159,3.666666667,220,2.357723577
6/22/2023 13:36,2245,3141,3385,3612,3854,4030,4279,4566,4945,6190,9151,7.05,423,3.611922141
6/22/2023 13:37,2476,3094,3318,3576,3740,3951,4216,4476,4921,5772,9504,6.283333333,377,2.686079545
6/22/2023 13:38,2126,3094,3402,3594,3815,4030,4237,4520,4921,5772,11468,5.7,342,2.142640364
6/22/2023 13:39,2491,3141,3385,3630,3796,4051,4365,4612,4896,5658,14679,6.216666667,373,2.87721519
6/22/2023 13:40,2353,3141,3488,3721,3873,4153,4365,4589,5121,5743,9771,5.466666667,328,3.906947891
6/22/2023 13:41,2075,3063,3385,3648,3892,4195,4612,5020,5574,6252,16750,6.616666667,397,2.087161366
6/22/2023 13:42,2357,3063,3351,3594,3796,4051,4322,4612,4970,5743,48116,10.28333333,617,2.972629521
6/22/2023 13:43,2254,3003,3318,3540,3759,3971,4216,4476,4823,5715,28928,10.05,603,2.163009404
6/22/2023 13:44,2308,3063,3402,3612,3815,3971,4195,4453,4752,5250,7554,7.766666667,466,2.590238365
6/22/2023 13:45,2322,3141,3453,3740,3971,4132,4322,4681,5095,5947,17344,6.416666667,385,2.760162602
6/22/2023 13:46,2428,3172,3436,3666,3892,4132,4344,4612,5250,5947,13088,6.683333333,401,3.123229462
6/22/2023 13:47,2560,3033,3419,3648,3854,4030,4237,4476,4896,5830,9667,5.633333333,338,3.088662791
6/22/2023 13:48,2551,3156,3453,3630,3777,4010,4153,4431,4681,5329,7223,3.1,186,2.248979592
6/22/2023 13:49,2223,3188,3488,3684,3834,4071,4301,4520,4775,5437,12586,4.266666667,256,2.357142857
6/22/2023 13:50,1878,3285,3488,3703,3873,4051,4216,4476,4823,5410,8007,7.333333333,440,2.226573427
6/22/2023 13:51,2363,3172,3453,3612,3854,4010,4322,4589,5045,5743,11592,5,300,2.468697124
6/22/2023 13:52,2334,3003,3368,3576,3834,4132,4344,4589,4970,5772,11584,6.05,363,1.91522763
6/22/2023 13:53,2388,3125,3436,3666,3971,4195,4453,4704,5198,6314,16775,4.3,258,2.094642857
6/22/2023 13:54,2399,3236,3505,3721,3873,4030,4237,4498,4799,5383,26422,6.333333333,380,2.677603424
6/22/2023 13:55,2208,2958,3252,3453,3648,3873,4195,4476,4775,5574,9580,5.516666667,331,1.947674419
6/22/2023 13:56,2201,3048,3236,3402,3558,3721,3931,4174,4566,5410,8726,28.08333333,1685,3.616931712
6/22/2023 13:57,2224,3188,3436,3576,3815,4010,4279,4612,4945,5743,15867,8.05,483,2.510855683
6/22/2023 13:58,2163,3156,3402,3576,3740,3931,4174,4498,4823,5491,9042,8.416666667,505,2.286069652
6/22/2023 13:59,2095,3285,3666,3892,4112,4322,4476,4681,5020,5947,16645,5.4,324,2.488687783
6/22/2023 14:00,2119,3003,3335,3558,3740,3912,4132,4365,4635,5383,8315,5.566666667,334,3.073239437
6/22/2023 14:01,2468,3172,3402,3594,3796,3971,4258,4520,4896,5715,13819,6.05,363,2.41301059
6/22/2023 14:02,2448,3094,3335,3576,3777,4010,4216,4476,4775,5250,8251,5.433333333,326,3.031897927
6/22/2023 14:03,2391,3018,3318,3630,3815,4010,4174,4431,4775,5519,12315,4.8,288,2.242975207
6/22/2023 14:04,2377,2885,3156,3419,3594,3815,4030,4258,4681,5356,8832,3.55,213,2.444234405
6/22/2023 14:05,2131,2958,3385,3648,3873,4091,4344,4658,5070,5772,13196,14.3,858,2.769164513
6/22/2023 14:06,1896,2560,2786,2973,3156,3385,3612,3854,4237,5045,15102,33.2,1992,3.150256849
6/22/2023 14:07,1854,2446,2677,2871,3033,3204,3402,3630,3990,4775,10974,38.5,2310,3.167984934
6/22/2023 14:08,1976,2677,2914,3141,3368,3558,3815,4091,4453,5095,8338,12.76666667,766,2.915974146
6/22/2023 14:09,1671,2371,2560,2745,2914,3125,3385,3684,4112,4799,17363,78.55,4713,3.442027578
6/22/2023 14:10,1741,2413,2611,2786,2973,3156,3385,3703,4153,4847,16240,62.83333333,3770,3.196658711
6/22/2023 14:11,1593,2421,2611,2800,2973,3156,3335,3558,3854,4431,8219,42.9,2574,2.851952462
6/22/2023 14:12,1740,2439,2651,2814,2973,3141,3335,3558,3951,4566,18506,67.25,4035,2.957765363
6/22/2023 14:13,1955,2677,2900,3125,3318,3540,3777,4091,4498,5198,20276,13.08333333,785,2.41838488
6/22/2023 14:14,2194,3003,3419,3721,3931,4091,4279,4520,4921,5410,7913,4.333333333,260,2.312292359
6/22/2023 14:15,2424,3220,3419,3630,3834,4051,4237,4520,4752,5437,11259,6.216666667,373,2.875362319
6/22/2023 14:16,2314,3188,3488,3703,3873,4071,4216,4453,4681,5224,8607,4.483333333,269,2.765323993
6/22/2023 14:17,1862,2573,2800,3018,3204,3402,3630,3834,4153,4775,7807,18.71666667,1123,3.173684211
6/22/2023 14:18,1826,2466,2691,2857,3033,3220,3402,3666,3990,4681,9644,44.86666667,2692,2.84984127
6/22/2023 14:19,1663,2482,2718,2914,3079,3252,3470,3721,4051,4612,8152,39.33333333,2360,2.660533911
6/22/2023 14:20,1809,2495,2745,2944,3141,3335,3540,3777,4132,4799,8686,14.48333333,869,3.064542484
6/22/2023 14:21,2546,3204,3419,3630,3873,4051,4258,4476,4823,5146,7090,4,240,2.730693069
6/22/2023 14:22,2525,2973,3252,3436,3684,3931,4030,4322,4681,5383,7739,4.9,294,1.730586371
6/22/2023 14:23,2324,3125,3402,3630,3912,4132,4387,4612,4921,5464,8972,3.483333333,209,2.255623722
6/22/2023 14:24,2154,3141,3385,3630,3815,3931,4153,4409,4752,5977,9809,3.15,189,2.863179074
6/22/2023 14:25,2184,3079,3318,3540,3796,3990,4279,4635,5070,5715,9841,6.116666667,367,2.13968254
6/22/2023 14:26,2295,3110,3402,3612,3777,3931,4153,4387,4775,5250,10804,5.816666667,349,2.542130366
6/22/2023 14:27,2082,3125,3385,3594,3759,3951,4153,4409,4681,5276,8718,9.533333333,572,2.229820628
6/22/2023 14:28,2337,3252,3540,3854,4010,4322,4728,5070,5464,6314,9201,5.6,336,2.332348597
6/22/2023 14:29,2361,3301,3612,3892,4091,4301,4635,4995,5464,6037,9087,6.8,408,3.611538462
6/22/2023 14:30,2274,2988,3285,3505,3703,3971,4174,4453,4823,5772,14004,7.083333333,425,4.170239596
6/22/2023 14:31,2309,3048,3269,3470,3612,3815,3990,4237,4566,5198,8065,17.36666667,1042,2.97532656
6/22/2023 14:32,2135,2944,3220,3419,3612,3834,4091,4387,4752,5743,15072,16.21666667,973,3.416317992
6/22/2023 14:33,2074,3079,3318,3540,3777,3951,4195,4476,4921,5859,9820,7.916666667,475,2.495545657
6/22/2023 14:34,2445,3125,3453,3612,3815,4030,4322,4589,5095,6098,16157,6.466666667,388,2.660264106
6/22/2023 14:35,2350,3172,3436,3648,3834,4091,4344,4658,5146,6128,9795,4.25,255,2.878603945
6/22/2023 14:36,2266,3018,3269,3470,3684,3931,4112,4322,4681,5250,9666,7.633333333,458,3.373522459
6/22/2023 14:37,2258,2988,3351,3558,3740,3951,4216,4476,4896,5491,10841,4.566666667,274,2.274706868
6/22/2023 14:38,2240,2988,3318,3540,3759,3971,4216,4498,4847,5888,8310,4.716666667,283,2.565079365
